Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S1579,16,59.4,47.9,57.0,2.5,0
S1580,16,71.9,53.5,86.0,4.6,1
S1581,15,80.2,54.3,64.0,4.4,1
S1582,18,75.9,48.9,46.5,9.9,1
S1583,16,67.1,47.4,50.7,5.9,0
S1584,16,60.2,54.8,65.5,2.2,1
S1585,17,45.3,60.3,66.7,3.9,0
S1586,16,71.1,53.6,88.6,7.0,1
S1587,17,85.2,74.2,52.5,9.2,1
S1588,18,65.1,65.1,65.5,1.8,1
S1589,15,88.8,35.7,52.3,1.2,1
S1590,15,37.1,65.3,59.1,8.7,0
S1591,18,42.7,66.5,85.2,5.8,1
S1592,15,72.8,51.9,51.4,3.3,1
S1593,18,64.0,37.1,72.0,6.1,0
S1594,18,79.7,58.1,69.7,0.0,1
S1595,18,59.8,57.9,64.7,5.0,1
S1596,15,47.0,42.3,71.2,5.7,0
S1597,17,56.8,37.7,51.1,6.8,1
S1598,18,37.0,56.8,84.9,3.0,1
S1599,16,43.1,54.7,88.1,5.2,1
S1600,15,74.6,52.2,65.6,3.1,1
S1601,18,73.1,56.8,94.1,5.5,1
S1602,18,65.4,42.6,60.2,3.2,0
S1603,16,34.2,51.9,69.8,4.2,1
S1604,17,54.6,65.5,82.2,3.0,1
S1605,17,41.6,53.1,59.5,6.3,1
S1606,17,77.6,34.6,48.4,6.7,1
S1607,18,51.2,51.4,45.7,4.5,0
S1608,18,43.7,43.0,89.7,5.1,1
S1609,18,60.4,61.7,58.7,2.1,1
S1610,15,50.4,62.5,62.8,4.4,1
S1611,16,82.3,34.8,51.6,4.9,1
S1612,18,49.0,68.6,76.4,10.2,1
S1613,16,39.0,42.4,55.6,2.8,0
S1614,16,27.7,79.8,59.1,7.9,1
S1615,17,59.5,57.3,68.6,7.0,0
S1616,15,51.6,40.6,52.2,5.6,1
S1617,18,38.6,42.0,62.9,8.5,1
S1618,17,77.8,62.9,81.8,5.7,1
S1619,17,70.0,52.5,70.1,5.8,1
S1620,18,59.6,56.6,66.6,4.9,1
S1621,16,80.5,80.6,67.6,7.4,1
S1622,17,69.9,48.2,60.3,7.2,1
S1623,16,47.7,58.8,89.0,3.7,1
S1624,15,44.4,77.9,55.3,2.4,0
S1625,16,72.3,61.8,67.5,4.6,1
S1626,15,65.9,35.5,66.4,3.4,1
S1627,16,62.5,65.1,77.1,4.9,1
S1628,17,47.3,41.7,78.2,7.5,1
S1629,17,69.1,77.7,64.6,4.1,1
S1630,15,48.7,46.5,68.5,4.9,1
S1631,18,58.5,99.6,68.9,5.1,1
S1632,15,81.7,78.5,37.7,6.7,1
S1633,15,50.1,46.8,45.9,0.5,0
S1634,16,36.4,58.3,57.7,3.8,0
S1635,16,44.2,68.6,58.3,5.4,1
S1636,15,74.9,69.0,50.6,7.4,1
S1637,17,63.8,64.2,74.0,4.0,1
S1638,16,58.1,75.5,65.0,1.2,1
S1639,18,52.4,56.3,62.4,6.2,1
S1640,16,67.3,52.9,49.9,3.7,1
S1641,16,47.3,53.1,64.5,2.6,1
S1642,18,64.6,70.0,33.5,3.8,0
S1643,15,49.0,63.1,63.0,4.6,1
S1644,18,46.5,62.1,65.8,3.8,0
S1645,15,50.4,69.1,67.9,0.6,1
S1646,15,54.4,29.3,46.2,6.8,1
S1647,15,59.3,62.3,67.7,7.5,1
S1648,18,63.5,61.1,52.5,6.3,1
S1649,15,4.7,81.4,55.3,2.7,0
S1650,17,47.9,36.6,73.6,4.6,1
S1651,18,54.1,79.8,89.2,5.0,1
S1652,17,82.6,59.1,65.6,6.2,1
S1653,15,43.8,64.8,55.2,6.3,1
S1654,16,62.4,81.5,67.3,3.5,0
S1655,15,82.4,65.9,76.3,5.2,1
S1656,17,40.3,63.6,72.5,5.9,1
S1657,17,65.9,61.4,97.9,7.9,1
S1658,18,48.0,51.2,56.4,6.4,0
S1659,16,52.4,57.6,68.0,6.6,1
S1660,18,48.0,48.0,83.6,5.2,0
S1661,17,49.0,57.4,82.8,7.8,0
S1662,15,100.0,25.3,41.6,5.8,0
S1663,16,72.7,64.0,65.0,3.3,1
S1664,15,76.5,56.3,82.8,7.8,1
S1665,15,67.4,53.3,99.7,6.4,1
S1666,16,35.9,61.1,73.4,4.1,1
S1667,18,65.9,37.9,60.6,4.0,1
S1668,15,76.1,85.0,52.9,5.6,1
S1669,17,47.2,56.6,91.6,5.9,1
S1670,15,74.5,56.0,73.7,5.4,1
S1671,16,70.6,44.5,54.8,5.6,1
S1672,16,87.8,58.3,62.6,8.4,1
S1673,16,53.7,77.4,68.7,7.1,1
S1674,18,43.5,72.5,71.5,5.4,1
S1675,15,54.6,70.0,54.2,6.9,1
S1676,18,81.5,65.6,57.6,2.9,1
S1677,18,32.6,53.0,45.2,5.8,0
S1678,16,29.0,37.7,77.5,8.6,0
S1679,16,61.3,55.2,60.9,4.6,1
S1680,18,53.4,54.7,70.6,3.3,1
S1681,15,60.1,72.7,82.1,3.7,1
S1682,17,74.2,62.3,67.6,2.8,1
S1683,18,51.7,80.6,63.6,3.4,1
S1684,15,31.9,74.8,67.3,4.3,1
S1685,16,90.7,51.6,65.8,2.2,1
S1686,16,45.0,32.9,80.0,5.0,1
S1687,15,44.1,77.4,68.7,6.8,0
S1688,17,76.6,77.0,58.5,3.2,1
S1689,16,54.2,38.9,77.6,8.0,0
S1690,16,59.0,79.1,79.8,6.0,1
S1691,16,67.2,63.3,48.9,7.1,1
S1692,15,76.3,60.2,83.4,3.7,1
S1693,18,55.0,80.6,69.4,6.7,1
S1694,16,82.8,76.8,68.4,2.8,1
S1695,18,28.0,67.1,77.1,6.8,0
S1696,17,71.4,64.6,58.2,5.3,1
S1697,16,47.4,66.6,76.4,6.1,1
S1698,16,80.6,52.4,60.5,2.6,1
S1699,17,62.1,57.2,47.3,3.2,1
S1700,16,49.9,45.4,53.0,6.2,0
S1701,18,69.9,53.3,71.8,3.1,1
S1702,15,73.4,52.9,53.7,5.9,0
S1703,18,69.6,49.1,84.3,2.3,1
S1704,15,44.6,59.9,79.3,6.7,1
S1705,15,52.7,53.5,81.0,2.5,0
S1706,18,59.9,65.0,66.5,6.1,1
S1707,18,59.4,35.3,68.1,6.3,1
S1708,18,71.2,56.4,50.7,3.6,1
S1709,18,29.8,59.8,76.9,6.2,0
S1710,17,65.0,53.7,69.6,5.5,0
S1711,16,55.7,55.6,71.8,3.9,0
S1712,15,47.4,35.8,85.3,3.0,1
S1713,18,48.9,63.0,57.7,1.1,1
S1714,18,56.8,67.1,63.5,5.7,1
S1715,18,6.0,64.9,68.9,1.9,1
S1716,17,49.5,72.5,53.8,5.2,0
S1717,18,46.9,60.8,62.7,4.5,0
S1718,18,68.0,64.7,70.9,6.4,1
S1719,18,47.9,60.2,61.1,4.4,0
S1720,16,56.8,67.6,80.7,4.3,1
S1721,17,83.1,35.9,46.9,6.5,1
S1722,18,74.9,45.5,78.5,5.7,1
S1723,15,73.5,80.2,72.9,5.6,1
S1724,15,52.5,23.6,58.2,5.9,1
S1725,15,68.1,56.0,53.9,1.9,0
S1726,17,56.5,74.4,40.0,6.5,1
S1727,17,57.1,56.7,55.5,6.2,1
S1728,15,66.1,52.3,77.6,3.0,1
S1729,18,51.0,59.8,64.3,4.5,0
S1730,17,82.4,53.1,79.0,4.9,1
S1731,15,57.6,58.4,57.6,4.7,0
S1732,15,69.3,48.4,73.5,5.7,1
S1733,18,81.8,73.5,56.4,7.9,1
S1734,16,75.5,77.9,53.4,7.2,1
S1735,17,38.9,56.1,63.7,2.4,1
S1736,18,66.7,38.6,57.0,6.2,0
S1737,15,72.8,50.7,46.5,7.7,1
S1738,15,73.4,55.4,62.8,5.8,1
S1739,18,43.3,65.1,66.3,7.2,0
S1740,17,50.1,43.9,80.2,9.0,0
S1741,16,74.9,47.2,76.2,7.0,1
S1742,16,48.6,65.1,79.6,5.5,1
S1743,15,55.5,71.1,73.6,7.1,1
S1744,17,83.6,49.3,69.0,5.3,1
S1745,16,59.3,39.3,50.3,5.0,1
S1746,17,49.1,100.0,66.8,4.3,1
S1747,17,46.8,69.0,72.2,8.1,0
S1748,15,65.0,54.3,82.5,3.4,1
S1749,16,40.0,70.2,73.2,8.1,1
S1750,18,56.3,56.3,79.9,6.0,0
S1751,15,65.0,70.1,52.6,2.2,1
S1752,16,79.5,60.2,61.1,5.7,1
S1753,16,70.0,59.3,70.2,0.8,1
S1754,16,49.3,56.4,78.9,6.3,0
S1755,16,77.7,37.7,63.3,6.8,1
S1756,16,55.5,85.1,64.0,3.8,1
S1757,17,41.5,44.8,73.2,5.2,1
S1758,15,57.4,39.0,51.5,8.9,0
S1759,17,81.6,55.0,84.3,4.0,1
S1760,18,62.5,44.5,54.5,2.9,0
S1761,16,60.2,57.3,42.0,8.0,1
S1762,15,84.6,67.6,65.1,8.9,1
S1763,16,38.5,71.9,85.4,5.0,1
S1764,15,40.7,69.4,72.0,7.0,1
S1765,17,35.8,53.7,74.0,7.7,0
S1766,15,65.6,58.7,65.5,3.5,0
S1767,18,62.5,63.7,63.2,4.0,1
S1768,18,83.1,33.4,46.5,7.5,1
S1769,15,63.7,66.0,37.9,8.4,0
S1770,15,53.9,37.6,67.4,6.1,1
S1771,15,60.0,86.6,80.8,3.2,1
S1772,15,61.8,52.3,69.1,9.0,0
S1773,18,34.9,55.4,72.5,3.9,1
S1774,16,100.0,47.2,84.0,4.3,1
S1775,15,67.8,49.2,68.9,5.7,0
S1776,15,63.2,89.8,63.5,8.1,1
S1777,18,69.2,71.2,55.2,6.7,1
S1778,18,70.6,36.3,89.3,5.8,1
S1779,17,57.9,79.1,71.3,5.9,0
S1780,15,50.5,74.7,53.7,5.1,1
S1781,17,69.0,54.1,50.9,6.1,1
S1782,18,65.8,62.3,80.0,0.0,1
S1783,18,47.9,57.8,52.6,4.4,1
S1784,16,81.3,85.6,87.2,5.5,1
S1785,15,64.4,46.9,31.9,2.7,1
S1786,17,70.9,60.0,82.1,5.8,0
S1787,18,80.9,52.0,70.8,4.6,1
S1788,18,60.3,37.9,66.4,8.5,1
S1789,17,64.8,88.7,62.9,8.1,1
S1790,16,72.2,41.5,87.7,4.1,0
S1791,18,49.1,61.1,73.5,4.7,1
S1792,15,60.8,33.6,54.2,4.9,0
S1793,18,61.9,52.4,44.4,4.1,1
S1794,15,45.7,63.9,67.1,5.4,1
S1795,17,94.8,46.5,65.0,3.5,1
S1796,15,38.9,66.2,46.8,2.7,0
S1797,17,40.5,54.2,64.3,6.2,1
S1798,15,79.7,74.2,58.1,6.3,1
S1799,17,70.7,77.1,65.1,3.4,1
S1800,15,44.6,49.8,73.7,6.8,1
S1801,16,69.1,59.1,82.9,3.7,1
S1802,15,82.0,60.6,75.9,5.5,1
S1803,15,59.5,66.7,56.3,6.6,1
S1804,16,99.0,58.2,69.4,4.9,1
S1805,18,34.1,60.7,65.8,5.9,1
S1806,18,70.4,54.6,49.0,4.0,1
S1807,15,77.5,59.6,69.8,4.6,1
S1808,16,73.4,76.2,87.3,4.6,1
S1809,15,56.9,67.0,65.4,3.5,0
S1810,17,55.6,67.8,45.9,4.6,0
S1811,17,66.7,68.1,65.4,1.9,1
S1812,15,72.2,55.8,50.4,4.0,1
S1813,18,69.0,62.5,75.4,4.4,1
S1814,18,75.6,42.8,71.3,4.5,0
S1815,15,44.7,75.8,62.9,4.5,1
S1816,15,56.6,19.0,61.0,4.9,1
S1817,17,45.9,56.8,62.5,6.0,1
S1818,18,54.2,74.0,65.1,6.7,1
S1819,15,75.2,38.9,55.7,3.7,0
S1820,17,61.6,63.6,48.3,2.6,0
S1821,18,99.1,48.5,78.7,2.9,1
S1822,16,62.9,52.8,60.4,4.0,0
S1823,17,60.9,71.2,67.0,4.3,1
S1824,18,61.6,60.8,68.4,3.5,1
S1825,18,50.4,29.5,68.9,2.4,1
S1826,17,59.1,44.3,50.9,4.1,0
S1827,16,76.9,71.7,44.9,5.4,1
S1828,17,61.7,64.3,57.9,6.2,1
S1829,18,48.1,82.5,69.7,3.9,0
S1830,15,46.1,81.6,56.3,4.2,1
S1831,15,53.2,53.2,60.7,3.1,1
S1832,17,61.1,93.0,90.5,4.9,1
S1833,18,77.9,58.3,42.9,3.3,1
S1834,15,39.9,44.5,55.9,6.1,1
S1835,18,55.2,49.1,87.8,1.4,1
S1836,17,62.2,26.4,64.5,4.3,1
S1837,15,32.5,80.5,56.5,5.6,1
S1838,18,47.5,80.3,79.0,5.4,1
S1839,15,49.8,43.8,65.7,10.4,1
S1840,17,48.1,54.8,60.8,5.7,1
S1841,18,62.9,59.3,67.3,3.0,1
S1842,15,57.6,44.6,57.1,4.8,0
S1843,17,51.7,33.4,52.8,1.4,1
S1844,15,66.4,55.1,63.6,4.8,1
S1845,15,85.8,53.5,52.9,3.3,1
S1846,16,84.6,52.6,65.1,6.8,1
S1847,16,31.2,61.1,69.3,3.9,1
S1848,17,68.7,78.0,75.2,4.8,1
S1849,16,57.3,53.8,78.5,3.7,0
S1850,17,62.3,60.4,60.1,8.5,1
S1851,16,54.0,68.2,71.0,4.4,1
S1852,15,61.8,65.8,70.9,8.7,1
S1853,17,62.3,49.4,68.9,6.6,1
S1854,17,51.3,59.3,59.2,6.0,1
S1855,15,46.6,65.7,52.7,5.7,0
S1856,17,53.3,42.2,71.0,5.8,1
S1857,17,63.5,75.7,44.5,1.1,1
S1858,16,69.0,78.0,61.8,4.4,1
S1859,17,72.8,47.9,34.4,6.7,1
S1860,18,52.6,60.7,49.0,4.9,1
S1861,15,64.3,67.0,54.5,2.2,1
S1862,16,74.4,50.4,78.2,4.9,1
S1863,16,77.5,64.7,73.3,8.4,1
S1864,18,59.1,60.3,58.4,7.5,0
S1865,15,56.7,37.4,73.8,4.9,1
S1866,15,62.9,64.4,75.7,6.9,1
S1867,16,42.8,42.6,63.1,4.3,0
S1868,17,57.1,71.1,48.4,1.6,1
S1869,16,71.2,48.6,62.5,3.2,1
S1870,15,69.6,55.7,63.8,8.1,1
S1871,18,55.9,77.2,50.2,4.5,1
S1872,16,63.3,64.9,69.4,4.5,1
S1873,15,47.6,42.9,68.4,4.4,1
S1874,16,70.6,43.8,70.3,8.8,0
S1875,17,58.8,49.6,68.3,8.3,0
S1876,16,55.9,63.5,73.8,9.4,1
S1877,16,54.6,63.0,62.8,4.7,1
S1878,15,59.1,46.2,67.4,5.6,1
S1879,15,53.3,41.7,60.2,2.0,1
S1880,15,69.9,61.9,58.0,8.0,1
S1881,16,54.1,55.5,81.1,2.7,1
S1882,17,83.9,88.2,40.5,5.4,0
S1883,18,82.0,58.5,75.5,2.8,1
S1884,18,46.6,83.4,57.6,3.8,1
S1885,15,61.0,41.6,56.0,3.3,1
S1886,15,50.2,36.0,68.1,3.8,1
S1887,16,55.1,42.3,47.1,3.9,0
S1888,18,90.0,74.6,55.2,3.9,1
S1889,15,55.4,82.6,54.8,6.7,1
S1890,17,65.4,47.0,62.3,2.8,0
S1891,17,68.1,51.6,55.4,5.4,0
S1892,15,45.0,41.6,84.2,7.4,0
S1893,15,47.2,32.6,86.6,4.0,0
S1894,18,41.9,68.1,40.7,3.6,0
S1895,18,46.7,61.1,71.5,4.5,1
S1896,16,17.2,58.1,75.3,7.4,1
S1897,18,68.2,38.4,71.5,5.4,1
S1898,17,90.8,81.0,57.1,3.9,1
S1899,17,62.2,51.0,62.1,6.0,0
S1900,15,38.8,65.5,56.0,2.8,1
S1901,18,50.4,37.6,60.0,6.4,0
S1902,16,53.1,55.3,50.5,5.8,1
S1903,17,44.7,62.1,63.6,4.4,0
S1904,17,72.9,62.6,47.0,3.3,1
S1905,16,72.2,60.2,62.6,3.2,1
S1906,16,42.7,64.9,50.0,6.1,0
S1907,17,70.9,42.2,67.5,7.5,1
S1908,17,82.9,60.8,56.8,3.7,1
S1909,16,88.5,59.6,68.5,5.9,0
S1910,17,100.0,61.2,78.0,0.8,1
S1911,15,46.5,59.0,84.1,3.8,1
S1912,15,100.0,40.2,34.7,4.9,1
S1913,16,54.7,39.6,55.0,3.2,1
S1914,18,51.1,27.0,61.4,3.1,0
S1915,16,64.9,69.4,70.5,3.7,1
S1916,16,51.3,69.6,45.2,5.6,0
S1917,18,66.0,69.8,53.2,4.6,1
S1918,18,40.2,62.3,66.6,0.5,1
S1919,18,56.4,28.1,66.0,0.8,0
S1920,15,79.3,43.6,69.5,3.8,0
S1921,17,59.1,60.4,70.3,5.9,0
S1922,15,62.1,59.9,69.1,0.0,1
S1923,17,67.1,54.9,67.3,4.0,1
S1924,15,77.6,63.2,65.7,3.9,1
S1925,17,35.2,58.2,73.0,7.8,0
S1926,15,68.8,59.7,38.1,4.2,0
S1927,18,56.0,49.1,83.5,5.8,1
S1928,16,62.5,71.7,38.5,5.3,1
S1929,15,75.9,52.0,52.1,0.7,1
S1930,17,42.1,39.4,62.3,6.5,1
S1931,18,44.8,47.2,73.1,5.4,1
S1932,15,31.0,53.1,29.1,6.0,0
S1933,15,51.8,71.9,64.7,12.0,0
S1934,18,80.0,57.4,74.5,0.8,1
S1935,15,58.2,55.4,76.9,8.4,1
S1936,16,39.9,40.5,56.6,4.4,1
S1937,15,52.7,69.0,61.4,5.6,1
S1938,16,37.7,48.9,57.6,4.9,0
S1939,16,43.1,56.6,60.3,4.2,0
S1940,18,65.8,78.7,52.6,3.9,1
S1941,15,42.4,65.1,54.3,5.7,1
S1942,18,76.7,35.2,70.2,2.0,1
S1943,15,58.9,33.2,66.6,6.5,1
S1944,15,61.3,57.1,70.9,4.2,1
S1945,17,55.8,41.0,67.6,2.7,1
S1946,15,71.6,67.1,73.5,4.1,1
S1947,18,71.7,58.6,75.5,7.5,1
S1948,16,65.0,60.3,44.1,3.9,1
S1949,15,68.5,48.1,54.7,5.7,0
S1950,17,56.8,82.4,62.2,3.5,1
S1951,18,68.1,97.8,64.7,6.5,1
S1952,15,54.9,54.1,57.0,6.4,1
S1953,18,60.0,62.9,75.9,8.7,1
S1954,17,55.9,59.4,88.8,4.6,1
S1955,17,53.1,54.4,67.2,6.3,0
S1956,18,49.7,46.4,66.0,5.2,0
S1957,15,67.0,42.8,75.2,7.6,1
S1958,16,79.7,42.1,42.6,3.6,0
S1959,17,77.6,63.7,65.3,6.5,1
S1960,15,41.2,50.7,76.7,4.6,1
S1961,15,79.3,21.9,57.3,4.9,0
S1962,16,55.2,64.2,50.3,5.2,1
S1963,17,69.0,57.5,62.8,5.5,1
S1964,17,46.4,76.9,64.3,4.8,1
S1965,15,62.1,63.2,54.1,5.4,1
S1966,15,64.7,37.3,90.2,8.2,1
S1967,16,37.7,26.8,59.3,7.0,0
S1968,16,69.1,47.9,51.2,6.7,0
S1969,17,80.2,49.2,63.9,4.1,1
S1970,18,57.4,71.2,75.9,3.2,1
S1971,17,80.4,57.9,65.2,6.9,1
S1972,15,57.2,73.9,70.8,6.8,1
S1973,17,72.7,39.5,54.5,7.9,1
S1974,18,26.7,71.5,82.9,3.8,1
S1975,16,96.3,68.1,71.7,4.5,1
S1976,18,82.4,29.7,77.6,1.7,1
S1977,18,55.7,76.5,69.4,4.2,1
S1978,18,30.4,59.3,74.9,7.0,1
S1979,16,64.3,63.5,54.5,4.1,0
S1980,18,38.3,45.9,59.1,6.3,0
S1981,18,66.7,75.9,81.2,4.6,0
S1982,18,66.2,41.4,83.7,5.6,0
S1983,15,45.9,69.6,51.2,2.7,1
S1984,18,76.8,69.5,68.0,5.2,1
S1985,16,72.1,44.4,59.8,0.0,1
S1986,18,74.6,85.8,56.6,4.6,1
S1987,18,60.1,61.2,68.4,1.7,1
S1988,16,38.8,67.2,78.7,7.4,1
S1989,18,74.7,36.6,70.4,6.6,1
S1990,16,55.9,87.6,61.2,5.9,1
S1991,18,39.2,40.9,71.2,8.0,0
S1992,16,80.3,72.3,60.7,3.1,1
S1993,18,91.5,44.1,69.9,8.5,1
S1994,18,59.4,49.3,81.8,6.9,0
S1995,15,92.4,69.0,40.1,4.5,1
S1996,15,61.4,72.4,74.6,7.3,1
S1997,18,54.3,40.2,46.5,2.8,1
S1998,18,50.5,73.3,79.7,3.4,0
S1999,17,84.6,72.6,57.4,3.8,1
S2000,16,48.3,44.9,50.4,3.9,0
S2001,17,71.0,80.4,73.3,2.9,1
S2002,15,51.6,37.6,69.4,7.4,1
S2003,15,53.1,49.3,53.0,4.5,0
S2004,15,75.5,64.7,50.0,5.7,1
S2005,15,54.3,46.1,62.8,3.9,1
S2006,18,53.9,61.7,50.6,1.4,1
S2007,15,77.0,61.4,52.3,5.5,1
S2008,18,84.0,55.4,66.4,1.2,1
S2009,18,69.7,69.7,53.4,4.9,1
S2010,15,50.2,54.8,70.1,2.3,1
S2011,15,52.3,61.2,82.9,9.0,1
S2012,16,61.2,74.1,63.2,6.8,1
S2013,17,64.8,69.1,66.6,5.2,1
S2014,15,45.2,69.0,89.2,7.5,1
S2015,16,70.8,41.9,50.7,3.3,1
S2016,16,61.3,65.3,79.3,6.1,1
S2017,17,34.3,45.7,77.9,5.4,0
S2018,18,46.1,40.1,75.3,5.5,0
S2019,15,52.4,57.0,80.5,7.5,0
S2020,17,58.9,45.3,68.4,6.5,0
S2021,15,88.3,69.1,58.0,5.6,1
S2022,16,63.6,69.4,78.1,1.7,1
S2023,16,47.4,31.4,78.6,3.1,1
S2024,18,63.3,46.4,78.3,4.8,1
S2025,16,54.7,37.6,65.5,5.2,0
S2026,16,64.9,51.5,56.4,2.7,1
S2027,17,68.7,64.4,67.3,9.8,1
S2028,15,78.1,54.6,76.3,8.0,1
S2029,15,59.6,49.7,77.3,6.2,1
S2030,17,84.6,76.2,59.8,5.1,1
S2031,18,73.6,25.7,68.8,4.6,1
S2032,15,49.4,75.3,49.3,3.1,1
S2033,16,93.1,50.4,76.8,5.2,1
S2034,15,64.9,56.9,55.6,5.5,1
S2035,16,47.5,50.6,74.4,2.5,0
S2036,18,84.8,79.6,51.2,5.7,1
S2037,17,91.2,40.8,77.4,4.7,1
S2038,15,59.5,58.2,68.9,1.2,1
S2039,17,52.4,65.4,55.6,3.3,1
S2040,15,57.4,35.4,73.3,4.2,0
S2041,16,70.7,45.1,57.9,8.8,1
S2042,17,79.2,55.9,74.0,6.1,1
S2043,15,68.6,45.6,61.7,2.3,1
S2044,16,61.5,46.6,44.3,6.0,0
S2045,17,82.5,53.1,53.2,1.9,1
S2046,17,55.3,67.1,59.8,7.2,0
S2047,15,75.5,53.2,81.4,4.1,1
S2048,15,55.7,73.1,75.8,4.8,1
S2049,15,66.5,44.0,84.5,7.7,1
S2050,16,58.3,40.5,84.8,2.4,1
S2051,15,59.2,85.0,58.6,2.2,1
S2052,17,54.3,48.8,62.7,3.8,1
S2053,17,80.2,39.6,60.1,7.1,1
S2054,15,49.0,33.6,56.9,2.0,0
S2055,15,48.9,73.1,42.9,0.0,1
S2056,18,91.8,53.2,64.8,4.1,1
S2057,17,74.7,54.4,49.6,6.1,1
S2058,16,24.2,55.8,64.6,7.4,0
S2059,18,51.5,72.2,90.4,4.1,1
S2060,15,32.8,55.5,58.9,4.2,1
S2061,15,45.7,90.8,67.3,7.3,0
S2062,17,12.9,59.9,75.9,1.3,0
S2063,15,57.9,72.9,68.4,4.2,1
S2064,16,42.9,69.3,68.5,5.4,1
S2065,17,60.9,57.5,60.7,5.9,0
S2066,15,35.6,49.8,62.2,4.0,0
S2067,17,61.2,62.6,53.5,5.1,1
S2068,15,53.8,65.1,75.2,0.0,0
S2069,15,82.5,50.0,44.1,3.7,1
S2070,15,81.2,60.3,76.7,5.9,1
S2071,16,71.8,75.3,48.2,3.0,1
S2072,16,55.1,87.0,76.6,5.1,1
S2073,17,89.8,70.0,60.8,5.9,1
S2074,15,36.7,84.1,50.2,4.3,0
S2075,15,38.9,49.2,72.0,5.3,0
S2076,16,58.7,67.8,76.1,3.1,1
S2077,15,93.8,76.7,59.7,4.6,1
S2078,16,57.0,45.5,73.6,6.2,1
S2079,15,57.3,51.2,37.6,5.3,0
S2080,17,38.4,82.3,49.2,3.8,1
S2081,15,74.2,44.3,80.5,5.4,0
S2082,15,74.3,39.2,62.3,6.4,1
S2083,18,71.8,79.4,42.7,0.9,1
S2084,16,50.6,74.8,56.6,7.3,1
S2085,15,49.4,64.0,53.9,4.3,0
S2086,15,40.6,57.4,63.0,5.9,1
S2087,18,61.3,51.9,60.6,7.4,1
S2088,18,43.8,61.9,67.1,2.3,1
S2089,16,42.3,80.1,64.2,3.6,1
S2090,18,53.6,61.3,81.3,4.4,1
S2091,17,52.7,88.3,70.1,3.4,0
S2092,18,51.9,45.4,70.5,8.5,1
S2093,17,67.0,57.7,79.0,3.3,1
S2094,16,61.2,52.8,60.3,3.9,1
S2095,16,55.7,42.8,49.9,5.4,1
S2096,16,62.7,55.9,79.5,2.6,1
S2097,16,45.1,63.8,66.6,4.2,0
S2098,16,61.6,65.3,66.7,5.6,0
S2099,17,62.3,88.4,57.4,4.3,1
S2100,17,37.5,64.5,57.6,4.8,1
S2101,16,74.9,74.1,75.2,3.9,1
S2102,18,46.8,58.9,76.8,2.0,1
S2103,15,61.4,81.5,74.4,5.6,0
S2104,16,77.5,91.6,74.5,8.5,1
S2105,18,73.9,65.4,71.8,5.0,1
S2106,15,60.5,44.1,66.6,5.5,0
S2107,16,54.6,50.3,62.9,6.4,0
S2108,16,74.2,61.9,79.5,2.5,1
S2109,17,70.1,64.4,60.5,8.4,0
S2110,15,50.7,67.8,69.4,5.4,1
S2111,15,48.1,64.4,55.4,8.3,0
S2112,18,28.9,58.1,57.1,3.5,1
S2113,17,62.3,49.1,62.2,8.6,1
S2114,17,58.8,63.6,55.4,6.6,1
S2115,17,77.0,84.0,74.6,6.1,1
S2116,17,65.4,72.3,48.8,5.5,1
S2117,15,80.0,65.5,66.2,4.5,1
S2118,15,49.5,72.4,66.6,7.4,1
S2119,16,77.1,52.8,43.3,5.3,1
S2120,16,52.1,50.9,59.7,1.1,1
S2121,17,71.7,47.5,68.1,2.8,1
S2122,17,38.1,56.2,70.1,4.6,0
S2123,17,63.5,52.1,62.5,5.6,0
S2124,16,30.2,74.9,73.1,4.9,1
S2125,18,56.0,51.3,63.7,7.4,1
S2126,18,66.6,46.8,65.2,1.1,1
S2127,16,52.2,85.2,68.0,5.3,1
S2128,16,44.2,51.7,76.1,1.4,1
S2129,16,72.7,60.1,56.9,6.5,1
S2130,16,58.4,64.3,59.2,4.8,1
S2131,16,52.7,42.1,57.0,5.8,1
S2132,16,60.6,75.3,61.0,3.3,1
S2133,17,99.6,66.9,82.1,7.6,1
S2134,17,77.3,79.8,71.9,7.1,1
S2135,17,77.4,48.5,51.4,6.2,0
S2136,17,66.5,59.4,57.8,4.7,1
S2137,16,62.5,58.6,69.5,6.2,1
S2138,18,24.1,61.7,54.1,3.6,0
S2139,15,49.8,37.6,56.3,6.7,0
S2140,16,52.8,59.6,81.1,8.3,1
S2141,15,31.9,38.0,57.6,7.1,0
S2142,18,42.6,63.0,76.5,3.5,1
S2143,17,30.3,28.2,80.1,5.7,1
S2144,18,59.4,32.1,56.2,2.4,1
S2145,16,72.3,69.5,54.3,6.1,1
S2146,17,76.6,50.3,61.7,5.9,1
S2147,16,66.2,44.2,51.9,1.3,1
S2148,17,45.5,75.8,66.5,2.7,1
S2149,15,31.0,62.6,62.5,4.4,1
S2150,15,33.6,70.2,69.3,4.4,1
S2151,15,41.0,55.7,81.8,2.6,1
S2152,18,46.7,95.5,74.8,5.8,1
S2153,16,57.6,49.5,70.9,5.5,1
S2154,18,44.8,82.4,41.4,4.6,1
S2155,15,65.1,57.1,70.3,3.5,0
S2156,16,56.5,34.8,85.7,7.1,1
S2157,15,60.2,64.8,28.9,8.3,1
S2158,18,77.1,62.4,73.3,4.0,1
S2159,18,42.3,43.3,63.1,3.8,1
